PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"22507750","Heterozygous UDP-GlcNAc 2-epimerase and N-acetylmannosamine kinase domain mutations in the GNE gene result in a less severe GNE myopathy phenotype compared to homozygous N-acetylmannosamine kinase domain mutations","Mori-Yoshimura M, Monma K, Suzuki N, Aoki M, Kumamoto T, Tanaka K, Tomimitsu H, Nakano S, Sonoo M, Shimizu J, Sugie K, Nakamura H, Oya Y, Hayashi YK, Malicdan MC, Noguchi S, Murata M, Nishino I.","J Neurol Sci. 2012 Jul 15;318(1-2):100-5. doi: 10.1016/j.jns.2012.03.016. Epub 2012 Apr 14.","Mori-Yoshimura M","J Neurol Sci","2012","2012/04/18","","","10.1016/j.jns.2012.03.016"
"30467490","GNE Myopathy With Novel Mutations and Pronounced Paraspinal Muscle Atrophy","Soule T, Phan C, White C, Resch L, Lacson A, Martens K, Pfeffer G.","Front Neurol. 2018 Nov 8;9:942. doi: 10.3389/fneur.2018.00942. eCollection 2018.","Soule T","Front Neurol","2018","2018/11/24","PMC6236015","","10.3389/fneur.2018.00942"
"31938415","Pathological findings in sporadic inclusion body myositis and GNE myopathy","Zhang Y, Pu C, Lu X, Shi Q, Wang H, Ban R, Liu H, Wei M, Song H.","Int J Clin Exp Pathol. 2018 May 1;11(5):2907-2911. eCollection 2018.","Zhang Y","Int J Clin Exp Pathol","2018","2020/01/16","PMC6958237","",""
"29305133","Phenotypic stratification and genotype-phenotype correlation in a heterogeneous, international cohort of GNE myopathy patients: First report from the GNE myopathy Disease Monitoring Program, registry portion","Pogoryelova O, Cammish P, Mansbach H, Argov Z, Nishino I, Skrinar A, Chan Y, Nafissi S, Shamshiri H, Kakkis E, Lochmüller H.","Neuromuscul Disord. 2018 Feb;28(2):158-168. doi: 10.1016/j.nmd.2017.11.001. Epub 2017 Nov 14.","Pogoryelova O","Neuromuscul Disord","2018","2018/01/07","PMC5857291","","10.1016/j.nmd.2017.11.001"
"27858758","GNE Myopathy: Two Clusters with History and Several Founder Mutations","Argov Z, Mitrani Rosenbaum S.","J Neuromuscul Dis. 2015 Jul 22;2(s2):S73-S76. doi: 10.3233/JND-150087.","Argov Z","J Neuromuscul Dis","2015","2016/11/19","PMC5240613","","10.3233/JND-150087"
"31167812","Expanding the spectrum of genes responsible for hereditary motor neuropathies","Previtali SC, Zhao E, Lazarevic D, Pipitone GB, Fabrizi GM, Manganelli F, Mazzeo A, Pareyson D, Schenone A, Taroni F, Vita G, Bellone E, Ferrarini M, Garibaldi M, Magri S, Padua L, Pennisi E, Pisciotta C, Riva N, Scaioli V, Scarlato M, Tozza S, Geroldi A, Jordanova A, Ferrari M, Molineris I, Reilly MM, Comi G, Carrera P, Devoto M, Bolino A.","J Neurol Neurosurg Psychiatry. 2019 Oct;90(10):1171-1179. doi: 10.1136/jnnp-2019-320717. Epub 2019 Jun 5.","Previtali SC","J Neurol Neurosurg Psychiatry","2019","2019/06/07","","","10.1136/jnnp-2019-320717"
"23549799","Clinical characteristics and molecular genetic analysis of Korean patients with GNE myopathy","Sim JE, Park HJ, Shin HY, Nam TS, Kim SM, Choi YC.","Yonsei Med J. 2013 May 1;54(3):578-82. doi: 10.3349/ymj.2013.54.3.578.","Sim JE","Yonsei Med J","2013","2013/04/04","PMC3635652","","10.3349/ymj.2013.54.3.578"
"31036580","A phase 3 randomized study evaluating sialic acid extended-release for GNE myopathy","Lochmüller H, Behin A, Caraco Y, Lau H, Mirabella M, Tournev I, Tarnopolsky M, Pogoryelova O, Woods C, Lai A, Shah J, Koutsoukos T, Skrinar A, Mansbach H, Kakkis E, Mozaffar T.","Neurology. 2019 Apr 30;92(18):e2109-e2117. doi: 10.1212/WNL.0000000000006932. Epub 2019 Jan 25.","Lochmüller H","Neurology","2019","2019/05/01","PMC6512882","","10.1212/WNL.0000000000006932"
"30160005","Identification of a GNE homozygous mutation in a Han-Chinese family with GNE myopathy","Wu Y, Yuan L, Guo Y, Lu A, Zheng W, Xu H, Yang Y, Hu P, Gu S, Wang B, Deng H.","J Cell Mol Med. 2018 Nov;22(11):5533-5538. doi: 10.1111/jcmm.13827. Epub 2018 Aug 29.","Wu Y","J Cell Mol Med","2018","2018/08/31","PMC6201217","","10.1111/jcmm.13827"
"24685570","GNE myopathy: new name and new mutation nomenclature","Huizing M, Carrillo-Carrasco N, Malicdan MC, Noguchi S, Gahl WA, Mitrani-Rosenbaum S, Argov Z, Nishino I.","Neuromuscul Disord. 2014 May;24(5):387-9. doi: 10.1016/j.nmd.2014.03.004. Epub 2014 Mar 13.","Huizing M","Neuromuscul Disord","2014","2014/04/02","PMC4015343","NIHMS576759","10.1016/j.nmd.2014.03.004"
"28505249","Sialic acid deficiency is associated with oxidative stress leading to muscle atrophy and weakness in GNE myopathy","Cho A, Christine M, Malicdan V, Miyakawa M, Nonaka I, Nishino I, Noguchi S.","Hum Mol Genet. 2017 Aug 15;26(16):3081-3093. doi: 10.1093/hmg/ddx192.","Cho A","Hum Mol Genet","2017","2017/05/16","PMC6075185","","10.1093/hmg/ddx192"
"29480215","Mutation Spectrum of GNE Myopathy in the Indian Sub-Continent","Bhattacharya S, Khadilkar SV, Nalini A, Ganapathy A, Mannan AU, Majumder PP, Bhattacharya A.","J Neuromuscul Dis. 2018;5(1):85-92. doi: 10.3233/JND-170270.","Bhattacharya S","J Neuromuscul Dis","2018","2018/02/27","","","10.3233/JND-170270"
"31616990","Quantitative nuclear magnetic resonance imaging detects subclinical changes over 1 year in skeletal muscle of GNE myopathy","Gidaro T, Reyngoudt H, Le Louër J, Behin A, Toumi F, Villeret M, Araujo ECA, Baudin PY, Marty B, Annoussamy M, Hogrel JY, Carlier PG, Servais L.","J Neurol. 2020 Jan;267(1):228-238. doi: 10.1007/s00415-019-09569-6. Epub 2019 Oct 15.","Gidaro T","J Neurol","2020","2019/10/17","","","10.1007/s00415-019-09569-6"
"28827485","Characterization of Strength and Function in Ambulatory Adults With GNE Myopathy","Argov Z, Bronstein F, Esposito A, Feinsod-Meiri Y, Florence JM, Fowler E, Greenberg MB, Malkus EC, Rebibo O, Siener CS, Caraco Y, Kolodny EH, Lau HA, Pestronk A, Shieh P, Skrinar AM, Mayhew JE.","J Clin Neuromuscul Dis. 2017 Sep;19(1):19-26. doi: 10.1097/CND.0000000000000181.","Argov Z","J Clin Neuromuscul Dis","2017","2017/08/23","PMC5636058","","10.1097/CND.0000000000000181"
"31386361","Targeting GNE Myopathy: A Dual Prodrug Approach for the Delivery of N-Acetylmannosamine 6-Phosphate","Morozzi C, Sedláková J, Serpi M, Avigliano M, Carbajo R, Sandoval L, Valles-Ayoub Y, Crutcher P, Thomas S, Pertusati F.","J Med Chem. 2019 Sep 12;62(17):8178-8193. doi: 10.1021/acs.jmedchem.9b00833. Epub 2019 Aug 20.","Morozzi C","J Med Chem","2019","2019/08/07","","","10.1021/acs.jmedchem.9b00833"
"23472144","Unfolded protein response and activated degradative pathways regulation in GNE myopathy","Li H, Chen Q, Liu F, Zhang X, Li W, Liu S, Zhao Y, Gong Y, Yan C.","PLoS One. 2013;8(3):e58116. doi: 10.1371/journal.pone.0058116. Epub 2013 Mar 5.","Li H","PLoS One","2013","2013/03/09","PMC3589370","","10.1371/journal.pone.0058116"
"17895373","A Gne knockout mouse expressing human V572L mutation develops features similar to distal myopathy with rimmed vacuoles or hereditary inclusion body myopathy","","Hum Mol Genet. 2007 Nov 1;16(21):2647. doi: 10.1093/hmg/ddm231. Epub 2007 Sep 25.","","Hum Mol Genet","2007","2007/09/27","","","10.1093/hmg/ddm231"
"23799153","Biosynthesis of UDP-GlcNAc, UndPP-GlcNAc and UDP-GlcNAcA involves three easily distinguished 4-epimerase enzymes, Gne, Gnu and GnaB","Cunneen MM, Liu B, Wang L, Reeves PR.","PLoS One. 2013 Jun 14;8(6):e67646. doi: 10.1371/journal.pone.0067646. Print 2013.","Cunneen MM","PLoS One","2013","2013/06/27","PMC3682973","","10.1371/journal.pone.0067646"
"20301439","GNE Myopathy","Carrillo N, Malicdan MC, Huizing M.","2004 Mar 26 [updated 2020 Apr 9]. In: Adam MP, Ardinger HH, Pagon RA, Wallace SE, Bean LJH, Stephens K, Amemiya A, editors. GeneReviews(®) [Internet]. Seattle (WA): University of Washington, Seattle; 1993–2020.","Carrillo N","GeneReviews(®)","1993","2020/04/09","","",""
"30585253","Correction: GNE myopathy in Chinese population: hotspot and novel mutations","Chen Y, Xi J, Zhu W, Lin J, Luo S, Yue D, Cai S, Sun C, Zhao C, Mitsuhashi S, Nishino I, Xu M, Lu J.","J Hum Genet. 2019 Mar;64(3):269. doi: 10.1038/s10038-018-0547-3.","Chen Y","J Hum Genet","2019","2018/12/27","","","10.1038/s10038-018-0547-3"
"17704511","A Gne knockout mouse expressing human GNE D176V mutation develops features similar to distal myopathy with rimmed vacuoles or hereditary inclusion body myopathy","Malicdan MC, Noguchi S, Nonaka I, Hayashi YK, Nishino I.","Hum Mol Genet. 2007 Nov 15;16(22):2669-82. doi: 10.1093/hmg/ddm220. Epub 2007 Aug 18.","Malicdan MC","Hum Mol Genet","2007","2007/08/21","","","10.1093/hmg/ddm220"
"31594457","Autophagy Defects in Skeletal Myopathies","Margeta M.","Annu Rev Pathol. 2020 Jan 24;15:261-285. doi: 10.1146/annurev-pathmechdis-012419-032618. Epub 2019 Oct 8.","Margeta M","Annu Rev Pathol","2020","2019/10/10","","","10.1146/annurev-pathmechdis-012419-032618"
"26546927","[GNE myopathy]","Urtizberea JA, Béhin A.","Med Sci (Paris). 2015 Nov;31 Spec No 3:20-7. doi: 10.1051/medsci/201531s306. Epub 2015 Nov 6.","Urtizberea JA","Med Sci (Paris)","2015","2015/11/08","","","10.1051/medsci/201531s306"
"28268051","Distal myopathy with ADSSL1 mutations in Korean patients","Park HJ, Shin HY, Kim S, Kim SH, Lee Y, Lee JH, Hong JM, Kim SM, Park KD, Choi BO, Lee JH, Choi YC.","Neuromuscul Disord. 2017 May;27(5):465-472. doi: 10.1016/j.nmd.2017.02.004. Epub 2017 Feb 14.","Park HJ","Neuromuscul Disord","2017","2017/03/08","","","10.1016/j.nmd.2017.02.004"
"23278550","Prevalence of GNE p.M712T and hereditary inclusion body myopathy (HIBM) in Sangesar population of Northern Iran","Khademian H, Mehravar E, Urtizberea J, Sagoo S, Sandoval L, Carbajo R, Darvish B, Valles-Ayoub Y, Darvish D.","Clin Genet. 2013 Dec;84(6):589-92. doi: 10.1111/cge.12086. Epub 2013 Feb 21.","Khademian H","Clin Genet","2013","2013/01/03","","","10.1111/cge.12086"
"31744945","The Inherited Neuromuscular Disorder GNE Myopathy: Research to Patient Care","Awasthi K, Arya R, Bhattacharya A, Bhattacharya S.","Neurol India. 2019 Sep-Oct;67(5):1213-1219. doi: 10.4103/0028-3886.271259.","Awasthi K","Neurol India","2019","2019/11/21","","","10.4103/0028-3886.271259"
"22196754","Distal myopathy with rimmed vacuoles: clinical and muscle morphological characteristics and spectrum of GNE gene mutations in 53 Chinese patients","Lu X, Pu C, Huang X, Liu J, Mao Y.","Neurol Res. 2011 Dec;33(10):1025-31. doi: 10.1179/1743132811Y.0000000070.","Lu X","Neurol Res","2011","2011/12/27","","","10.1179/1743132811Y.0000000070"
"30511500","Bayesian model of disease progression in GNE myopathy","Quintana M, Shrader J, Slota C, Joe G, McKew JC, Fitzgerald M, Gahl WA, Berry S, Carrillo N.","Stat Med. 2019 Apr 15;38(8):1459-1474. doi: 10.1002/sim.8050. Epub 2018 Dec 3.","Quintana M","Stat Med","2019","2018/12/05","","","10.1002/sim.8050"
"15748884","Localization of UDP-GlcNAc 2-epimerase/ManAc kinase (GNE) in the Golgi complex and the nucleus of mammalian cells","Krause S, Hinderlich S, Amsili S, Horstkorte R, Wiendl H, Argov Z, Mitrani-Rosenbaum S, Lochmüller H.","Exp Cell Res. 2005 Apr 1;304(2):365-79. doi: 10.1016/j.yexcr.2004.11.010. Epub 2004 Dec 19.","Krause S","Exp Cell Res","2005","2005/03/08","","","10.1016/j.yexcr.2004.11.010"
"30842975","GNE genotype explains 20% of phenotypic variability in GNE myopathy","Pogoryelova O, Wilson IJ, Mansbach H, Argov Z, Nishino I, Lochmüller H.","Neurol Genet. 2019 Feb 1;5(1):e308. doi: 10.1212/NXG.0000000000000308. eCollection 2019 Feb.","Pogoryelova O","Neurol Genet","2019","2019/03/08","PMC6384023","","10.1212/NXG.0000000000000308"
"26968811","Increased amyloid β-peptide uptake in skeletal muscle is induced by hyposialylation and may account for apoptosis in GNE myopathy","Bosch-Morató M, Iriondo C, Guivernau B, Valls-Comamala V, Vidal N, Olivé M, Querfurth H, Muñoz FJ.","Oncotarget. 2016 Mar 22;7(12):13354-71. doi: 10.18632/oncotarget.7997.","Bosch-Morató M","Oncotarget","2016","2016/03/13","PMC4924647","","10.18632/oncotarget.7997"
"25986339","Mutational spectrum and clinical features in 35 unrelated mainland Chinese patients with GNE myopathy","Zhao J, Wang Z, Hong D, Lv H, Zhang W, Chen J, Yuan Y.","J Neurol Sci. 2015 Jul 15;354(1-2):21-6. doi: 10.1016/j.jns.2015.04.028. Epub 2015 Apr 27.","Zhao J","J Neurol Sci","2015","2015/05/20","","","10.1016/j.jns.2015.04.028"
"29139300","Development and preliminary evidence of the psychometric properties of the GNE myopathy functional activity scale","Mayhew J, Bonner N, Arbuckle R, Turnbull A, Bowden A, Skrinar A.","J Comp Eff Res. 2018 Apr;7(4):381-395. doi: 10.2217/cer-2017-0062. Epub 2017 Nov 15.","Mayhew J","J Comp Eff Res","2018","2017/11/16","","","10.2217/cer-2017-0062"
"27854221","GNE-Myopathy in a Greek Romani Family with Unusual Calf Phenotype and Protein Aggregation Pathology","Papadimas GK, Evilä A, Papadopoulos C, Kararizou E, Manta P, Udd B.","J Neuromuscul Dis. 2016 May 27;3(2):283-288. doi: 10.3233/JND-160154.","Papadimas GK","J Neuromuscul Dis","2016","2016/11/18","","","10.3233/JND-160154"
"27037841","Aberrant O-GlcNAcylation disrupts GNE enzyme activity in GNE myopathy","Bennmann D, Weidemann W, Thate A, Kreuzmann D, Horstkorte R.","FEBS J. 2016 Jun;283(12):2285-94. doi: 10.1111/febs.13729. Epub 2016 May 31.","Bennmann D","FEBS J","2016","2016/04/03","","","10.1111/febs.13729"
"28717665","Identification of an Alu element-mediated deletion in the promoter region of GNE in siblings with GNE myopathy","Garland J, Stephen J, Class B, Gruber A, Ciccone C, Poliak A, Hayes CP, Singhal V, Slota C, Perreault J, Gavrilova R, Shrader JA, Chittiboina P, Joe G, Heiss J, Gahl WA, Huizing M, Carrillo N, Malicdan MCV.","Mol Genet Genomic Med. 2017 Jun 14;5(4):410-417. doi: 10.1002/mgg3.300. eCollection 2017 Jul.","Garland J","Mol Genet Genomic Med","2017","2017/07/19","PMC5511805","","10.1002/mgg3.300"
"29923088","Sialuria: Ninth Patient Described Has a Novel Mutation in GNE","Martinez NN, Lipke M, Robinson J, Wilcken B.","JIMD Rep. 2019;44:17-21. doi: 10.1007/8904_2018_117. Epub 2018 Jun 20.","Martinez NN","JIMD Rep","2019","2018/06/21","PMC6323021","","10.1007/8904_2018_117"
"23122659","Oral monosaccharide therapies to reverse renal and muscle hyposialylation in a mouse model of GNE myopathy","Niethamer TK, Yardeni T, Leoyklang P, Ciccone C, Astiz-Martinez A, Jacobs K, Dorward HM, Zerfas PM, Gahl WA, Huizing M.","Mol Genet Metab. 2012 Dec;107(4):748-55. doi: 10.1016/j.ymgme.2012.10.011. Epub 2012 Oct 18.","Niethamer TK","Mol Genet Metab","2012","2012/11/06","PMC3504164","NIHMS415847","10.1016/j.ymgme.2012.10.011"
"17164266","A Gne knockout mouse expressing human V572L mutation develops features similar to distal myopathy with rimmed vacuoles or hereditary inclusion body myopathy","Malicdan MC, Noguchi S, Nonaka I, Hayashi YK, Nishino I.","Hum Mol Genet. 2007 Jan 15;16(2):115-28. doi: 10.1093/hmg/ddl446. Epub 2006 Dec 12.","Malicdan MC","Hum Mol Genet","2007","2006/12/14","","","10.1093/hmg/ddl446"
"11916006","Nonaka myopathy is caused by mutations in the UDP-N-acetylglucosamine-2-epimerase/N-acetylmannosamine kinase gene (GNE)","Kayashima T, Matsuo H, Satoh A, Ohta T, Yoshiura K, Matsumoto N, Nakane Y, Niikawa N, Kishino T.","J Hum Genet. 2002;47(2):77-9. doi: 10.1007/s100380200004.","Kayashima T","J Hum Genet","2002","2002/03/28","","","10.1007/s100380200004"
"27829678","Missing genetic variations in GNE myopathy: rearrangement hotspots encompassing 5'UTR and founder allele","Zhu W, Mitsuhashi S, Yonekawa T, Noguchi S, Huei JC, Nalini A, Preethish-Kumar V, Yamamoto M, Murakata K, Mori-Yoshimura M, Kamada S, Yahikozawa H, Karasawa M, Kimura S, Yamashita F, Nishino I.","J Hum Genet. 2017 Feb;62(2):159-166. doi: 10.1038/jhg.2016.134. Epub 2016 Nov 10.","Zhu W","J Hum Genet","2017","2016/11/11","","","10.1038/jhg.2016.134"
"31317621","Glycosylation in lymphoma: Biology and glycotherapy","Suzuki O.","Pathol Int. 2019 Aug;69(8):441-449. doi: 10.1111/pin.12834. Epub 2019 Jul 17.","Suzuki O","Pathol Int","2019","2019/07/19","PMC6852584","","10.1111/pin.12834"
"25230235","Expression and secretion of wild type and mutant GNE proteins in Dictyostelium discoideum","Grover S, Aslam S, Sharma V, Arya R.","CNS Neurol Disord Drug Targets. 2014;13(7):1263-72. doi: 10.2174/1871527313666140917094905.","Grover S","CNS Neurol Disord Drug Targets","2014","2014/09/18","","","10.2174/1871527313666140917094905"
"15987957","Use of a cell-free system to determine UDP-N-acetylglucosamine 2-epimerase and N-acetylmannosamine kinase activities in human hereditary inclusion body myopathy","Sparks SE, Ciccone C, Lalor M, Orvisky E, Klootwijk R, Savelkoul PJ, Dalakas MC, Krasnewich DM, Gahl WA, Huizing M.","Glycobiology. 2005 Nov;15(11):1102-10. doi: 10.1093/glycob/cwi100. Epub 2005 Jun 29.","Sparks SE","Glycobiology","2005","2005/07/01","","","10.1093/glycob/cwi100"
"24796702","Mutation update for GNE gene variants associated with GNE myopathy","Celeste FV, Vilboux T, Ciccone C, de Dios JK, Malicdan MC, Leoyklang P, McKew JC, Gahl WA, Carrillo-Carrasco N, Huizing M.","Hum Mutat. 2014 Aug;35(8):915-26. doi: 10.1002/humu.22583.","Celeste FV","Hum Mutat","2014","2014/05/07","PMC4172345","NIHMS628024","10.1002/humu.22583"
"19426133","Regulation and pathophysiological implications of UDP-GlcNAc 2-epimerase/ManNAc kinase (GNE) as the key enzyme of sialic acid biosynthesis","Reinke SO, Lehmer G, Hinderlich S, Reutter W.","Biol Chem. 2009 Jul;390(7):591-9. doi: 10.1515/BC.2009.073.","Reinke SO","Biol Chem","2009","2009/05/12","","","10.1515/BC.2009.073"
"19838336","Safety and in vivo expression of a GNE-transgene: a novel treatment approach for hereditary inclusion body myopathy-2","Phadke AP, Jay C, Chen SJ, Haddock C, Wang Z, Yu Y, Nemunaitis D, Nemunaitis G, Templeton NS, Senzer N, Maples PB, Tong AW, Nemunaitis J.","Gene Regul Syst Bio. 2009 May 8;3:89-101. doi: 10.4137/grsb.s2210.","Phadke AP","Gene Regul Syst Bio","2009","2009/10/20","PMC2758285","","10.4137/grsb.s2210"
"24027297","Mutation profile of the GNE gene in Japanese patients with distal myopathy with rimmed vacuoles (GNE myopathy)","Cho A, Hayashi YK, Monma K, Oya Y, Noguchi S, Nonaka I, Nishino I.","J Neurol Neurosurg Psychiatry. 2014 Aug;85(8):914-7. doi: 10.1136/jnnp-2013-305587. Epub 2013 Sep 11.","Cho A","J Neurol Neurosurg Psychiatry","2014","2013/09/13","","","10.1136/jnnp-2013-305587"
"29603301","Quantification of lectin fluorescence in GNE myopathy muscle biopsies","Leoyklang P, Class B, Noguchi S, Gahl WA, Carrillo N, Nishino I, Huizing M, Malicdan MC.","Muscle Nerve. 2018 Aug;58(2):286-292. doi: 10.1002/mus.26135. Epub 2018 Apr 23.","Leoyklang P","Muscle Nerve","2018","2018/04/01","PMC6105422","NIHMS954977","10.1002/mus.26135"
"29743626","Role of IGF-1R in ameliorating apoptosis of GNE deficient cells","Singh R, Chaudhary P, Arya R.","Sci Rep. 2018 May 9;8(1):7323. doi: 10.1038/s41598-018-25510-9.","Singh R","Sci Rep","2018","2018/05/11","PMC5943343","","10.1038/s41598-018-25510-9"
"30661069","A Nationwide, Population-Based Prevalence Study of Genetic Muscle Disorders","Theadom A, Rodrigues M, Poke G, O'Grady G, Love D, Hammond-Tooke G, Parmar P, Baker R, Feigin V, Jones K, Te Ao B, Ranta A, Roxburgh R; On Behalf of the MDPrev Research Group.","Neuroepidemiology. 2019;52(3-4):128-135. doi: 10.1159/000494115. Epub 2019 Jan 18.","Theadom A","Neuroepidemiology","2019","2019/01/21","PMC6518995","","10.1159/000494115"
"24005727","GNE myopathy in India","Nalini A, Gayathri N, Nishino I, Hayashi YK.","Neurol India. 2013 Jul-Aug;61(4):371-4. doi: 10.4103/0028-3886.117609.","Nalini A","Neurol India","2013","2013/09/06","","","10.4103/0028-3886.117609"
"30956020","237th ENMC International Workshop: GNE myopathy - current and future research Hoofddorp, The Netherlands, 14-16 September 2018","Pogoryelova O, Urtizberea JA, Argov Z, Nishino I, Lochmüller H; ENMC workshop study group.","Neuromuscul Disord. 2019 May;29(5):401-410. doi: 10.1016/j.nmd.2019.02.010. Epub 2019 Mar 2.","Pogoryelova O","Neuromuscul Disord","2019","2019/04/09","","","10.1016/j.nmd.2019.02.010"
"25407075","[Remudy]","Kimura E, Nakamura H, Nishino I.","Brain Nerve. 2014 Nov;66(11):1396-402. doi: 10.11477/mf.1416200045.","Kimura E","Brain Nerve","2014","2014/11/20","","","10.11477/mf.1416200045"
"28267778","Substantial deficiency of free sialic acid in muscles of patients with GNE myopathy and in a mouse model","Chan YM, Lee P, Jungles S, Morris G, Cadaoas J, Skrinar A, Vellard M, Kakkis E.","PLoS One. 2017 Mar 7;12(3):e0173261. doi: 10.1371/journal.pone.0173261. eCollection 2017.","Chan YM","PLoS One","2017","2017/03/08","PMC5340369","","10.1371/journal.pone.0173261"
"31121216","Activity of N-acylneuraminate-9-phosphatase (NANP) is not essential for de novo sialic acid biosynthesis","Willems AP, Sun L, Schulz MA, Tian W, Ashikov A, van Scherpenzeel M, Hermans E, Clausen H, Yang Z, Lefeber DJ.","Biochim Biophys Acta Gen Subj. 2019 Oct;1863(10):1471-1479. doi: 10.1016/j.bbagen.2019.05.011. Epub 2019 May 20.","Willems AP","Biochim Biophys Acta Gen Subj","2019","2019/05/24","","","10.1016/j.bbagen.2019.05.011"
"19845164","UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase in nuclei and rimmed vacuoles of muscle fibers in DMRV (distal myopathy with rimmed vacuoles)","Ishihara S, Tomimitsu H, Fujigasaki H, Saito F, Mizusawa H.","J Med Dent Sci. 2008 Mar;55(1):181-7.","Ishihara S","J Med Dent Sci","2008","2009/10/23","","",""
"31787465","GNE myopathy - A cross-sectional study on spatio-temporal gait characteristics","Gomez G, Khanna M, Gupta A, Nalini A, Thennarasu K, Nashi S, Polavarapu K, Vengalil S.","Neuromuscul Disord. 2019 Dec;29(12):961-967. doi: 10.1016/j.nmd.2019.11.003. Epub 2019 Nov 8.","Gomez G","Neuromuscul Disord","2019","2019/12/03","","","10.1016/j.nmd.2019.11.003"
"28232658","[Therapeutic development for GNE myopathy.]","Suzuki N, Izumi R, Kato M, Warita H, Aoki M.","Clin Calcium. 2017;27(3):429-434.","Suzuki N","Clin Calcium","2017","2017/02/25","","",""
